BestN:20, BestA:21, BestF:0.009034, AvgF:0.025402
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026181
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025672
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025011
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025413
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026128
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026575
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025923
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025767
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025942
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025843
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025764
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025657
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026026
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026192
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025805
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025608
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025730
